RoomID,RoomNumber,DepartmentID,Capacity,Gender,ReqSpecialism1,ReqSpecialism2,ReqSpecialism3,PenaltySpecialism1,PenaltySpecialism2,PenaltySpecialism3,Telemetry,Oxygen,Nitrogen,Television
1,11,1,1,M,1,2,3,1,1,1,0,0,0,0
2,12,1,1,N,1,2,3,1,1,1,0,1,0,0
3,13,1,1,M,1,2,3,1,2,2,1,1,1,1
4,14,1,1,M,1,2,3,2,1,1,1,1,1,0
5,15,1,2,F,1,2,3,2,1,1,0,0,0,1
6,16,1,2,F,1,2,3,1,1,1,1,1,1,1
7,17,1,2,N,1,2,3,1,1,1,1,0,1,0
8,18,1,2,D,1,2,3,1,1,1,1,0,1,0
9,19,1,2,M,1,2,3,1,1,3,1,0,0,0
10,110,1,2,D,1,2,3,1,1,1,0,0,0,0
11,111,1,2,N,1,2,3,1,1,1,1,1,1,0
12,112,1,4,M,1,2,3,2,2,2,1,1,1,0
13,113,1,4,D,1,2,3,1,1,1,0,1,1,1
14,114,1,4,M,1,2,3,2,1,1,0,0,0,1
15,115,1,4,F,1,2,3,1,3,1,1,1,1,1
16,116,1,4,N,1,2,3,2,1,1,0,0,0,0
17,117,1,4,F,1,2,3,1,3,1,1,1,0,1
18,118,1,4,N,1,2,3,1,1,1,0,0,0,0
19,119,1,4,N,1,2,3,1,1,1,1,0,0,1
20,120,1,4,M,1,2,3,1,1,1,0,0,1,0
21,121,1,4,F,1,2,3,1,1,1,0,0,0,0
22,122,1,4,M,1,2,3,1,1,1,0,1,1,1
23,123,1,4,D,1,2,3,2,1,1,0,0,0,0
24,124,1,4,D,1,2,3,1,1,1,0,1,0,0
25,125,1,4,F,1,2,3,3,1,1,1,0,1,0
26,126,1,4,M,1,2,3,1,1,1,1,0,1,0
27,127,1,4,F,1,2,3,1,1,1,0,0,1,1
28,128,1,4,M,1,2,3,1,2,1,0,0,0,0
29,229,2,1,D,2,3,4,2,2,2,1,1,1,1
30,230,2,1,M,2,3,4,1,1,1,1,0,1,1
31,231,2,1,D,2,3,4,1,2,1,1,1,0,1
32,232,2,1,M,2,3,4,1,1,1,1,0,1,1
33,233,2,1,D,2,3,4,1,1,3,1,1,1,1
34,234,2,2,D,2,3,4,2,1,1,1,1,1,1
35,235,2,2,M,2,3,4,1,1,1,0,1,0,0
36,236,2,2,F,2,3,4,1,1,2,1,1,1,0
37,237,2,2,N,2,3,4,1,1,2,1,1,1,1
38,238,2,2,M,2,3,4,1,1,2,1,1,1,1
39,239,2,2,F,2,3,4,2,1,2,0,1,0,0
40,240,2,2,D,2,3,4,3,3,1,1,0,1,0
41,241,2,2,M,2,3,4,1,1,1,1,0,1,1
42,242,2,2,M,2,3,4,1,1,3,1,1,0,0
43,243,2,2,D,2,3,4,1,1,1,0,0,0,1
44,244,2,4,M,2,3,4,2,1,1,0,1,1,1
45,245,2,4,M,2,3,4,1,1,1,1,1,0,1
46,246,2,4,D,2,3,4,1,1,1,0,1,0,1
47,247,2,4,F,2,3,4,3,1,1,0,0,1,0
48,248,2,4,D,2,3,4,1,2,1,0,0,1,1
49,249,2,4,D,2,3,4,3,1,1,0,1,0,1
50,250,2,4,D,2,3,4,2,2,1,1,1,1,1
51,251,2,4,N,2,3,4,1,2,1,1,0,0,0
52,252,2,4,D,2,3,4,1,1,1,1,1,0,1
53,253,2,4,F,2,3,4,2,2,1,1,1,1,1
54,254,2,4,D,2,3,4,1,2,1,0,0,0,0
55,255,2,4,D,2,3,4,1,1,1,0,1,0,0
56,256,2,4,M,2,3,4,3,1,1,0,0,0,0
57,257,2,4,D,2,3,4,2,1,1,1,1,0,1
58,358,3,1,D,3,4,1,1,1,1,1,1,1,1
59,359,3,1,N,3,4,1,1,1,1,0,1,1,0
60,360,3,1,D,3,4,1,1,1,1,1,1,1,0
61,361,3,1,M,3,4,1,1,3,1,1,1,1,1
62,362,3,2,F,3,4,1,1,2,3,0,0,1,0
63,363,3,2,M,3,4,1,2,1,2,0,0,0,0
64,364,3,2,M,3,4,1,1,2,2,1,1,1,1
65,365,3,2,F,3,4,1,1,1,1,1,1,1,1
66,366,3,2,D,3,4,1,1,1,2,0,0,1,1
67,367,3,2,N,3,4,1,2,1,1,0,1,0,0
68,368,3,2,F,3,4,1,1,3,2,0,0,1,0
69,369,3,2,N,3,4,1,1,2,1,0,1,1,0
70,370,3,2,M,3,4,1,3,1,1,1,1,0,1
71,371,3,4,D,3,4,1,1,2,1,0,0,1,0
72,372,3,4,D,3,4,1,1,1,2,0,0,1,0
73,373,3,4,D,3,4,1,2,2,1,0,0,0,0
74,374,3,4,N,3,4,1,1,3,1,1,1,1,1
75,375,3,4,D,3,4,1,1,1,1,1,1,1,1
76,376,3,4,F,3,4,1,2,1,1,0,1,0,0
77,377,3,4,F,3,4,1,1,1,2,0,0,1,0
78,378,3,4,N,3,4,1,2,3,1,0,1,0,1
79,379,3,4,M,3,4,1,1,1,1,0,0,0,0
80,380,3,4,N,3,4,1,1,1,2,0,0,0,1
81,381,3,4,M,3,4,1,1,1,1,0,0,0,0
82,382,3,4,D,3,4,1,2,2,3,0,0,1,1
83,483,4,1,F,4,1,2,1,1,1,1,1,0,0
84,484,4,1,M,4,1,2,2,1,2,1,0,0,1
85,485,4,1,M,4,1,2,2,1,1,1,1,1,1
86,486,4,2,M,4,1,2,1,2,1,0,1,1,0
87,487,4,2,N,4,1,2,1,2,1,1,1,1,1
88,488,4,2,N,4,1,2,1,2,1,0,1,0,1
89,489,4,2,D,4,1,2,3,2,1,0,1,1,0
90,490,4,2,D,4,1,2,1,1,1,0,1,0,1
91,491,4,4,D,4,1,2,2,1,1,0,1,1,0
92,492,4,4,D,4,1,2,1,1,1,1,1,1,1
93,493,4,4,N,4,1,2,2,1,1,1,1,1,0
94,494,4,4,M,4,1,2,1,2,1,1,1,0,1
95,495,4,4,M,4,1,2,2,1,1,1,0,1,1
96,496,4,4,M,4,1,2,2,1,1,0,0,0,0
97,497,4,4,M,4,1,2,1,1,1,0,1,0,1
98,498,4,4,D,4,1,2,1,3,1,1,0,0,1
99,499,4,4,F,4,1,2,1,1,1,1,1,1,1
100,4100,4,4,M,4,1,2,3,2,1,0,0,0,0
101,4101,4,4,M,4,1,2,1,1,2,0,0,1,0
102,4102,4,4,N,4,1,2,1,1,1,1,1,0,1
103,4103,4,4,D,4,1,2,2,1,1,1,1,0,1
104,4104,4,4,F,4,1,2,1,1,2,0,0,0,0
105,4105,4,4,F,4,1,2,1,1,1,0,1,0,0
